selection,rows,density_class
all,26,cv-dense
kitchen,9,cv-sparse
teaching,21,cv-dense
community,12,cv-airy
education,19,cv-dense
volunteer,10,cv-sparse
performance,7,cv-ultra
seminarschools,10,cv-sparse
kitchen+teaching,24,cv-dense
kitchen+community,17,cv-dense
kitchen+education,24,cv-dense
kitchen+volunteer,16,cv-airy
kitchen+performance,14,cv-airy
kitchen+seminarschools,19,cv-dense
teaching+community,24,cv-dense
teaching+education,22,cv-dense
teaching+volunteer,24,cv-dense
teaching+performance,24,cv-dense
teaching+seminarschools,24,cv-dense
community+education,24,cv-dense
community+volunteer,13,cv-airy
community+performance,16,cv-airy
community+seminarschools,22,cv-dense
education+volunteer,24,cv-dense
education+performance,24,cv-dense
education+seminarschools,24,cv-dense
volunteer+performance,15,cv-airy
volunteer+seminarschools,20,cv-dense
performance+seminarschools,17,cv-dense
kitchen+teaching+community,24,cv-dense
kitchen+teaching+education,24,cv-dense
kitchen+teaching+volunteer,24,cv-dense
kitchen+teaching+performance,24,cv-dense
kitchen+teaching+seminarschools,24,cv-dense
kitchen+community+education,24,cv-dense
kitchen+community+volunteer,18,cv-dense
kitchen+community+performance,21,cv-dense
kitchen+community+seminarschools,24,cv-dense
kitchen+education+volunteer,24,cv-dense
kitchen+education+performance,24,cv-dense
kitchen+education+seminarschools,24,cv-dense
kitchen+volunteer+performance,20,cv-dense
kitchen+volunteer+seminarschools,24,cv-dense
kitchen+performance+seminarschools,24,cv-dense
teaching+community+education,24,cv-dense
teaching+community+volunteer,24,cv-dense
teaching+community+performance,24,cv-dense
teaching+community+seminarschools,24,cv-dense
teaching+education+volunteer,24,cv-dense
teaching+education+performance,24,cv-dense
teaching+education+seminarschools,24,cv-dense
teaching+volunteer+performance,24,cv-dense
teaching+volunteer+seminarschools,24,cv-dense
teaching+performance+seminarschools,24,cv-dense
community+education+volunteer,24,cv-dense
community+education+performance,24,cv-dense
community+education+seminarschools,24,cv-dense
community+volunteer+performance,17,cv-dense
community+volunteer+seminarschools,23,cv-dense
community+performance+seminarschools,24,cv-dense
education+volunteer+performance,24,cv-dense
education+volunteer+seminarschools,24,cv-dense
education+performance+seminarschools,24,cv-dense
volunteer+performance+seminarschools,24,cv-dense
kitchen+teaching+community+education,24,cv-dense
kitchen+teaching+community+volunteer,24,cv-dense
kitchen+teaching+community+performance,24,cv-dense
kitchen+teaching+community+seminarschools,24,cv-dense
kitchen+teaching+education+volunteer,24,cv-dense
kitchen+teaching+education+performance,24,cv-dense
kitchen+teaching+education+seminarschools,24,cv-dense
kitchen+teaching+volunteer+performance,24,cv-dense
kitchen+teaching+volunteer+seminarschools,24,cv-dense
kitchen+teaching+performance+seminarschools,24,cv-dense
kitchen+community+education+volunteer,24,cv-dense
kitchen+community+education+performance,24,cv-dense
kitchen+community+education+seminarschools,24,cv-dense
kitchen+community+volunteer+performance,22,cv-dense
kitchen+community+volunteer+seminarschools,24,cv-dense
kitchen+community+performance+seminarschools,24,cv-dense
kitchen+education+volunteer+performance,24,cv-dense
kitchen+education+volunteer+seminarschools,24,cv-dense
kitchen+education+performance+seminarschools,24,cv-dense
kitchen+volunteer+performance+seminarschools,24,cv-dense
teaching+community+education+volunteer,24,cv-dense
teaching+community+education+performance,24,cv-dense
teaching+community+education+seminarschools,24,cv-dense
teaching+community+volunteer+performance,24,cv-dense
teaching+community+volunteer+seminarschools,24,cv-dense
teaching+community+performance+seminarschools,24,cv-dense
teaching+education+volunteer+performance,24,cv-dense
teaching+education+volunteer+seminarschools,24,cv-dense
teaching+education+performance+seminarschools,24,cv-dense
teaching+volunteer+performance+seminarschools,24,cv-dense
community+education+volunteer+performance,24,cv-dense
community+education+volunteer+seminarschools,24,cv-dense
community+education+performance+seminarschools,24,cv-dense
community+volunteer+performance+seminarschools,24,cv-dense
education+volunteer+performance+seminarschools,24,cv-dense
kitchen+teaching+community+education+volunteer,24,cv-dense
kitchen+teaching+community+education+performance,24,cv-dense
kitchen+teaching+community+education+seminarschools,24,cv-dense
kitchen+teaching+community+volunteer+performance,24,cv-dense
kitchen+teaching+community+volunteer+seminarschools,24,cv-dense
kitchen+teaching+community+performance+seminarschools,24,cv-dense
kitchen+teaching+education+volunteer+performance,24,cv-dense
kitchen+teaching+education+volunteer+seminarschools,24,cv-dense
kitchen+teaching+education+performance+seminarschools,24,cv-dense
kitchen+teaching+volunteer+performance+seminarschools,24,cv-dense
kitchen+community+education+volunteer+performance,24,cv-dense
kitchen+community+education+volunteer+seminarschools,24,cv-dense
kitchen+community+education+performance+seminarschools,24,cv-dense
kitchen+community+volunteer+performance+seminarschools,24,cv-dense
kitchen+education+volunteer+performance+seminarschools,24,cv-dense
teaching+community+education+volunteer+performance,24,cv-dense
teaching+community+education+volunteer+seminarschools,24,cv-dense
teaching+community+education+performance+seminarschools,24,cv-dense
teaching+community+volunteer+performance+seminarschools,24,cv-dense
teaching+education+volunteer+performance+seminarschools,24,cv-dense
community+education+volunteer+performance+seminarschools,24,cv-dense
kitchen+teaching+community+education+volunteer+performance,24,cv-dense
kitchen+teaching+community+education+volunteer+seminarschools,24,cv-dense
kitchen+teaching+community+education+performance+seminarschools,24,cv-dense
kitchen+teaching+community+volunteer+performance+seminarschools,24,cv-dense
kitchen+teaching+education+volunteer+performance+seminarschools,24,cv-dense
kitchen+community+education+volunteer+performance+seminarschools,24,cv-dense
teaching+community+education+volunteer+performance+seminarschools,24,cv-dense
kitchen+teaching+community+education+volunteer+performance+seminarschools,24,cv-dense
