city_or_area,specific_events_researched,bulk_sources_researched,audit14_future_events,net_new_specific_candidates,p0_source_groups
Gananoque,38,0,0,38,1
Montréal,35,3,5,34,2
Toronto,31,3,50,31,3
South Stormont,25,2,0,25,2
Kingston,25,0,5,25,0
Brockville,21,0,0,21,3
Cornwall,21,0,0,21,3
Cambridge,17,0,0,17,1
Hamilton,15,1,2,15,1
Vaudreuil-Dorion,16,0,0,16,2
Markham,12,1,0,12,1
Waterloo,10,0,0,10,2
Brampton,8,1,0,8,1
Mississauga,8,1,0,8,1
Guelph,6,1,3,6,1
Prescott,4,3,0,4,1
South Dundas,5,2,0,5,1
Oakville,6,0,0,6,1
Vaughan,5,1,0,5,1
Burlington,4,1,0,4,1
Dollard-des-Ormeaux,5,0,0,5,1
Pointe-Claire,4,0,0,4,1
Richmond Hill,3,1,0,3,1
Kitchener,1,1,0,1,1
Online,1,0,31,1,0
Ontario,1,0,0,1,0
